Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1983-01-03
Station:        062001         Ticouapé - au pont-route 373                                                                                                                   
Bassin versant: 295 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 51' 18" // -72° 29' 39"

Date de création du fichier: 2012-06-24 02:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062001         1978/04/15          0.850          R
062001         1978/04/16          0.850          R
062001         1978/04/17          0.850          R
062001         1978/04/18          0.850          R
062001         1978/04/19          0.850          R
062001         1978/04/20          0.850          R
062001         1978/04/21          1.980          R
062001         1978/04/22          3.680          R
062001         1978/04/23          8.500          R
062001         1978/04/24          14.20          R
062001         1978/04/25          19.80          R
062001         1978/04/26          24.10          R
062001         1978/04/27          22.70          MC
062001         1978/04/28          21.20          MC
062001         1978/04/29          20.40          MC
062001         1978/04/30          19.30          MC
062001         1978/05/01          18.40          R
062001         1978/05/02          17.60          R
062001         1978/05/03          16.70          R
062001         1978/05/04          16.10          R
062001         1978/05/05          15.60          R
062001         1978/05/06          14.70          R
062001         1978/05/07          14.20          R
062001         1978/05/08          16.80          MC
062001         1978/05/09          18.80          MC
062001         1978/05/10          21.30          MC
062001         1978/05/11          17.60          MC
062001         1978/05/12          15.20          MC
062001         1978/05/13          13.20          MC
062001         1978/05/14          10.80          MC
062001         1978/05/15          9.120          MC
062001         1978/05/16          7.590          MC
062001         1978/05/17          6.710          J
062001         1978/05/18          6.430          MC
062001         1978/05/19          5.950          MC
062001         1978/05/20          4.790          MC
062001         1978/05/21          6.770          MC
062001         1978/05/22          4.840          MC
062001         1978/05/23          3.850          MC
062001         1978/05/24          3.570          MC
062001         1978/05/25          3.280          MC
062001         1978/05/26          2.940          MC
062001         1978/05/27          3.260          MC
062001         1978/05/28          3.770          MC
062001         1978/05/29          4.420          MC
062001         1978/05/30          4.020          MC
062001         1978/05/31          9.120          J
062001         1978/06/01          11.20          MC
062001         1978/06/02          7.190          MC
062001         1978/06/03          5.750          MC
062001         1978/06/04          4.470          MC
062001         1978/06/05          3.910          MC
062001         1978/06/06          4.160          MC
062001         1978/06/07          3.280          MC
062001         1978/06/08          2.690          MC
062001         1978/06/09          2.660          MC
062001         1978/06/10          2.150          MC
062001         1978/06/11          3.030          MC
062001         1978/06/12          5.240          MC
062001         1978/06/13          15.00          MC
062001         1978/06/14          11.30          MC
062001         1978/06/15          8.670          MC
062001         1978/06/16          5.830          MC
062001         1978/06/17          4.470          MC
062001         1978/06/18          4.130          MC
062001         1978/06/19          4.160          MC
062001         1978/06/20          4.420          MC
062001         1978/06/21          4.870          MC
062001         1978/06/22          3.740          MC
062001         1978/06/23          6.290          MC
062001         1978/06/24          5.550          MC
062001         1978/06/25          4.530          MC
062001         1978/06/26          3.850          MC
062001         1978/06/27          4.730          MC
062001         1978/06/28          3.600          MC
062001         1978/06/29          3.510          MC
062001         1978/06/30          3.060          MC
062001         1978/07/01          2.290          MC
062001         1978/07/02          1.900          MC
062001         1978/07/03          1.700          MC
062001         1978/07/04          1.500          J
062001         1978/07/05          1.190          MC
062001         1978/07/06          1.080          MC
062001         1978/07/07          1.020          MC
062001         1978/07/08          1.100          MC
062001         1978/07/09          7.250          MC
062001         1978/07/10          4.160          MC
062001         1978/07/11          3.030          MC
062001         1978/07/12          1.780          MC
062001         1978/07/13          1.300          MC
062001         1978/07/14          1.080          MC
062001         1978/07/15          0.960          MC
062001         1978/07/16          5.860          MC
062001         1978/07/17          3.570          MC
062001         1978/07/18          2.270          MC
062001         1978/07/19          2.040          MC
062001         1978/07/20          2.440          MC
062001         1978/07/21          2.380          MC
062001         1978/07/22          1.590          MC
062001         1978/07/23          4.700          MC
062001         1978/07/24          5.750          MC
062001         1978/07/25          3.030          MC
062001         1978/07/26          2.150          MC
062001         1978/07/27          6.910          MC
062001         1978/07/28          6.850          MC
062001         1978/07/29          3.740          MC
062001         1978/07/30          3.940          MC
062001         1978/07/31          2.610          MC
062001         1978/08/01          2.380          MC
062001         1978/08/02          2.690          MC
062001         1978/08/03          14.70          MC
062001         1978/08/04          7.900          MC
062001         1978/08/05          4.300          MC
062001         1978/08/06          3.060          MC
062001         1978/08/07          2.520          MC
062001         1978/08/08          2.100          MC
062001         1978/08/09          1.670          MC
062001         1978/08/10          1.400          MC
062001         1978/08/11          1.140          MC
062001         1978/08/12          0.940          MC
062001         1978/08/13          0.870          MC
062001         1978/08/14          0.830          MC
062001         1978/08/15          0.720          MC
062001         1978/08/16          0.690          MC
062001         1978/08/17          0.660          MC
062001         1978/08/18          0.590          MC
062001         1978/08/19          0.510          MC
062001         1978/08/20          0.710          MC
062001         1978/08/21          0.610          MC
062001         1978/08/22          0.550          MC
062001         1978/08/23          0.470          MC
062001         1978/08/24          0.410          MC
062001         1978/08/25          0.380          MC
062001         1978/08/26          0.390          MC
062001         1978/08/27          0.430          MC
062001         1978/08/28          0.490          MC
062001         1978/08/29          1.190          MC
062001         1978/08/30          0.820          MC
062001         1978/08/31          0.670          MC
062001         1978/09/01          0.510          MC
062001         1978/09/02          0.820          MC
062001         1978/09/03          1.830          MC
062001         1978/09/04          1.100          MC
062001         1978/09/05          0.850          MC
062001         1978/09/06          1.640          MC
062001         1978/09/07          3.260          MC
062001         1978/09/08          1.870          MC
062001         1978/09/09          1.500          MC
062001         1978/09/10          1.290          MC
062001         1978/09/11          1.140          MC
062001         1978/09/12          1.070          MC
062001         1978/09/13          0.890          MC
062001         1978/09/14          0.790          MC
062001         1978/09/15          5.130          MC
062001         1978/09/16          3.620          MC
062001         1978/09/17          2.460          MC
062001         1978/09/18          1.900          MC
062001         1978/09/19          1.530          MC
062001         1978/09/20          1.360          J
062001         1978/09/21          1.290          MC
062001         1978/09/22          1.160          MC
062001         1978/09/23          0.990          MC
062001         1978/09/24          0.920          MC
062001         1978/09/25          0.860          MC
062001         1978/09/26          0.780          MC
062001         1978/09/27          0.740          MC
062001         1978/09/28          1.930          MC
062001         1978/09/29          1.730          MC
062001         1978/09/30          1.470          MC
062001         1978/10/01          3.370          MC
062001         1978/10/02          3.770          MC
062001         1978/10/03          2.940          MC
062001         1978/10/04          2.380          MC
062001         1978/10/05          3.170          MC
062001         1978/10/06          2.860          MC
062001         1978/10/07          3.820          MC
062001         1978/10/08          5.660          MC
062001         1978/10/09          3.960          MC
062001         1978/10/10          4.020          MC
062001         1978/10/11          3.400          MC
062001         1978/10/12          3.030          MC
062001         1978/10/13          3.820          MC
062001         1978/10/14          3.260          MC
062001         1978/10/15          3.260          MC
062001         1978/10/16          3.510          MC
062001         1978/10/17          3.450          MC
062001         1978/10/18          3.570          MC
062001         1978/10/19          3.850          MC
062001         1978/10/20          3.310          MC
062001         1978/10/21          3.570          MC
062001         1978/10/22          3.680          MC
062001         1978/10/23          3.430          MC
062001         1978/10/24          2.860          MC
062001         1978/10/25          2.750          MC
062001         1978/10/26          3.710          MC
062001         1978/10/27          3.230          MC
062001         1978/10/28          2.920          MC
062001         1978/10/29          3.110          MC
062001         1978/10/30          2.550          MC
062001         1978/10/31          2.690          MC
062001         1978/11/01          2.580          MC
062001         1978/11/02          2.440          MC
062001         1978/11/03          2.380          MC
062001         1978/11/04          2.210          MC
062001         1978/11/05          2.240          MC
062001         1978/11/06          2.270          MC
062001         1978/11/07          2.100          MC
062001         1978/11/08          1.900          MC
062001         1978/11/09          1.950          MC
062001         1978/11/10          1.810          MC
062001         1978/11/11          1.700          MC
062001         1978/11/12          1.590          MC
062001         1978/11/13          1.470          MC
062001         1978/11/14          1.810          MC
062001         1978/11/15          3.230          MC
062001         1978/11/16          2.270          MC
062001         1978/11/17          1.730          MC
062001         1978/11/18          4.730          MC
062001         1978/11/19          4.450          MC
062001         1978/11/20          2.890          MC
062001         1978/11/21          2.210          MC
062001         1978/11/22          1.810          MC
062001         1978/11/23          1.700          MC
062001         1978/11/24          1.560          R
062001         1978/11/25          1.360          R
062001         1978/11/26          1.300          R
062001         1978/11/27          1.250          R
062001         1978/11/28          1.190          R
062001         1978/11/29          1.160          R
062001         1978/11/30          1.130          R
062001         1978/12/01          1.090          R
062001         1978/12/02          1.080          R
062001         1978/12/03          1.050          R
062001         1978/12/04          1.020          R
062001         1978/12/05          0.990          R
062001         1978/12/06          0.990          R
062001         1978/12/07          0.960          R
062001         1978/12/08          0.960          R
062001         1978/12/09          0.930          R
062001         1978/12/10          0.930          R
062001         1978/12/11          0.910          R
062001         1978/12/12          0.910          R
062001         1978/12/13          0.880          J
062001         1978/12/14          0.880          R
062001         1978/12/15          0.880          R
062001         1978/12/16          0.850          R
062001         1978/12/17          0.850          R
062001         1978/12/18          0.850          R
062001         1978/12/19          0.820          R
062001         1978/12/20          0.820          R
062001         1978/12/21          0.820          R
062001         1978/12/22          0.790          R
062001         1978/12/23          0.790          R
062001         1978/12/24          0.790          R
062001         1978/12/25          0.790          R
062001         1978/12/26          0.790          R
062001         1978/12/27          0.760          R
062001         1978/12/28          0.760          R
062001         1978/12/29          0.760          R
062001         1978/12/30          0.740          R
062001         1978/12/31          0.740          R
062001         1979/01/01          0.740          R
062001         1979/01/02          0.740          R
062001         1979/01/03          0.740          R
062001         1979/01/04          0.740          R
062001         1979/01/05          0.740          R
062001         1979/01/06          0.740          R
062001         1979/01/07          0.710          R
062001         1979/01/08          0.710          R
062001         1979/01/09          0.710          R
062001         1979/01/10          0.710          R
062001         1979/01/11          0.710          R
062001         1979/01/12          0.710          R
062001         1979/01/13          0.710          R
062001         1979/01/14          0.710          R
062001         1979/01/15          0.710          R
062001         1979/01/16          0.710          R
062001         1979/01/17          0.710          J
062001         1979/01/18          0.710          R
062001         1979/01/19          0.710          R
062001         1979/01/20          0.710          R
062001         1979/01/21          0.710          R
062001         1979/01/22          0.710          R
062001         1979/01/23          0.710          R
062001         1979/01/24          0.710          R
062001         1979/01/25          0.710          R
062001         1979/01/26          0.710          R
062001         1979/01/27          0.790          R
062001         1979/01/28          0.990          R
062001         1979/01/29          1.270          R
062001         1979/01/30          1.980          R
062001         1979/01/31          1.760          R
062001         1979/02/01          1.670          R
062001         1979/02/02          1.560          R
062001         1979/02/03          1.470          R
062001         1979/02/04          1.420          R
062001         1979/02/05          1.360          R
062001         1979/02/06          1.300          R
062001         1979/02/07          1.250          R
062001         1979/02/08          1.190          R
062001         1979/02/09          1.160          R
062001         1979/02/10          1.130          R
062001         1979/02/11          1.100          R
062001         1979/02/12          1.080          R
062001         1979/02/13          1.050          R
062001         1979/02/14          1.020          R
062001         1979/02/15          0.960          R
062001         1979/02/16          0.930          R
062001         1979/02/17          0.930          R
062001         1979/02/18          0.910          R
062001         1979/02/19          0.880          R
062001         1979/02/20          0.850          J
062001         1979/02/21          0.820          R
062001         1979/02/22          0.820          R
062001         1979/02/23          0.790          R
062001         1979/02/24          0.790          R
062001         1979/02/25          0.760          R
062001         1979/02/26          0.760          R
062001         1979/02/27          0.740          R
062001         1979/02/28          0.740          R
062001         1979/03/01          0.710          R
062001         1979/03/02          0.710          R
062001         1979/03/03          0.710          R
062001         1979/03/04          0.710          R
062001         1979/03/05          0.760          R
062001         1979/03/06          1.700          R
062001         1979/03/07          2.550          R
062001         1979/03/08          3.400          R
062001         1979/03/09          2.550          R
062001         1979/03/10          2.270          R
062001         1979/03/11          1.980          R
062001         1979/03/12          1.760          R
062001         1979/03/13          1.590          R
062001         1979/03/14          1.440          R
062001         1979/03/15          1.390          R
062001         1979/03/16          1.270          R
062001         1979/03/17          1.190          R
062001         1979/03/18          1.190          R
062001         1979/03/19          1.190          R
062001         1979/03/20          1.700          R
062001         1979/03/21          1.840          R
062001         1979/03/22          2.550          R
062001         1979/03/23          4.160          R
062001         1979/03/24          7.140          R
062001         1979/03/25          12.20          R
062001         1979/03/26          15.60          R
062001         1979/03/27          11.30          R
062001         1979/03/28          9.340          R
062001         1979/03/29          8.500          R
062001         1979/03/30          7.930          R
062001         1979/03/31          7.360          R
062001         1979/04/01          6.940          R
062001         1979/04/02          6.650          R
062001         1979/04/03          6.230          R
062001         1979/04/04          5.950          R
062001         1979/04/05          5.800          R
062001         1979/04/06          5.660          R
062001         1979/04/07          5.520          R
062001         1979/04/08          5.240          R
062001         1979/04/09          5.150          R
062001         1979/04/10          5.040          R
062001         1979/04/11          4.870          R
062001         1979/04/12          4.810          R
062001         1979/04/13          4.810          R
062001         1979/04/14          6.510          R
062001         1979/04/15          9.910          R
062001         1979/04/16          17.30          MC
062001         1979/04/17          21.50          MC
062001         1979/04/18          17.80          MC
062001         1979/04/19          25.80          MC
062001         1979/04/20          26.80          MC
062001         1979/04/21          26.80          MC
062001         1979/04/22          22.00          MC
062001         1979/04/23          
062001         1979/04/24          
062001         1979/04/25          
062001         1979/04/26          
062001         1979/04/27          
062001         1979/04/28          
062001         1979/04/29          
062001         1979/04/30          
062001         1979/05/01          
062001         1979/05/02          
062001         1979/05/03          18.30          J
062001         1979/05/04          
062001         1979/05/05          
062001         1979/05/06          
062001         1979/05/07          
062001         1979/05/08          
062001         1979/05/09          
062001         1979/05/10          
062001         1979/05/11          
062001         1979/05/12          
062001         1979/05/13          
062001         1979/05/14          
062001         1979/05/15          
062001         1979/05/16          
062001         1979/05/17          
062001         1979/05/18          
062001         1979/05/19          
062001         1979/05/20          
062001         1979/05/21          
062001         1979/05/22          
062001         1979/05/23          
062001         1979/05/24          
062001         1979/05/25          
062001         1979/05/26          
062001         1979/05/27          
062001         1979/05/28          
062001         1979/05/29          
062001         1979/05/30          
062001         1979/05/31          
062001         1979/06/01          
062001         1979/06/02          
062001         1979/06/03          
062001         1979/06/04          5.030          MC
062001         1979/06/05          6.400          MC
062001         1979/06/06          7.800          MC
062001         1979/06/07          5.760          MC
062001         1979/06/08          4.790          MC
062001         1979/06/09          4.940          MC
062001         1979/06/10          4.380          MC
062001         1979/06/11          25.80          MC
062001         1979/06/12          18.20          MC
062001         1979/06/13          13.20          MC
062001         1979/06/14          8.880          MC
062001         1979/06/15          7.140          MC
062001         1979/06/16          6.340          MC
062001         1979/06/17          6.180          MC
062001         1979/06/18          20.60          MC
062001         1979/06/19          10.30          MC
062001         1979/06/20          7.360          MC
062001         1979/06/21          5.510          MC
062001         1979/06/22          4.240          MC
062001         1979/06/23          3.850          MC
062001         1979/06/24          5.800          MC
062001         1979/06/25          4.740          MC
062001         1979/06/26          3.650          MC
062001         1979/06/27          3.030          MC
062001         1979/06/28          2.680          MC
062001         1979/06/29          3.440          MC
062001         1979/06/30          2.960          MC
062001         1979/07/01          2.430          MC
062001         1979/07/02          2.780          MC
062001         1979/07/03          2.910          MC
062001         1979/07/04          2.240          MC
062001         1979/07/05          1.960          MC
062001         1979/07/06          1.790          MC
062001         1979/07/07          1.510          MC
062001         1979/07/08          1.510          MC
062001         1979/07/09          1.390          J
062001         1979/07/10          1.160          MC
062001         1979/07/11          
062001         1979/07/12          
062001         1979/07/13          
062001         1979/07/14          
062001         1979/07/15          
062001         1979/07/16          
062001         1979/07/17          
062001         1979/07/18          
062001         1979/07/19          
062001         1979/07/20          
062001         1979/07/21          
062001         1979/07/22          
062001         1979/07/23          
062001         1979/07/24          
062001         1979/07/25          
062001         1979/07/26          
062001         1979/07/27          
062001         1979/07/28          
062001         1979/07/29          
062001         1979/07/30          
062001         1979/07/31          
062001         1979/08/01          
062001         1979/08/02          
062001         1979/08/03          
062001         1979/08/04          
062001         1979/08/05          
062001         1979/08/06          
062001         1979/08/07          
062001         1979/08/08          
062001         1979/08/09          
062001         1979/08/10          
062001         1979/08/11          
062001         1979/08/12          
062001         1979/08/13          
062001         1979/08/14          
062001         1979/08/15          
062001         1979/08/16          
062001         1979/08/17          
062001         1979/08/18          
062001         1979/08/19          
062001         1979/08/20          
062001         1979/08/21          
062001         1979/08/22          
062001         1979/08/23          
062001         1979/08/24          
062001         1979/08/25          
062001         1979/08/26          
062001         1979/08/27          
062001         1979/08/28          
062001         1979/08/29          
062001         1979/08/30          
062001         1979/08/31          
062001         1979/09/01          
062001         1979/09/02          
062001         1979/09/03          
062001         1979/09/04          
062001         1979/09/05          
062001         1979/09/06          
062001         1979/09/07          
062001         1979/09/08          
062001         1979/09/09          
062001         1979/09/10          
062001         1979/09/11          
062001         1979/09/12          
062001         1979/09/13          
062001         1979/09/14          6.460          MC
062001         1979/09/15          7.120          MC
062001         1979/09/16          3.920          MC
062001         1979/09/17          2.810          MC
062001         1979/09/18          2.040          MC
062001         1979/09/19          1.610          MC
062001         1979/09/20          1.350          MC
062001         1979/09/21          1.800          MC
062001         1979/09/22          3.040          MC
062001         1979/09/23          1.920          MC
062001         1979/09/24          1.520          MC
062001         1979/09/25          1.330          MC
062001         1979/09/26          1.170          MC
062001         1979/09/27          1.070          MC
062001         1979/09/28          0.880          MC
062001         1979/09/29          1.630          MC
062001         1979/09/30          1.730          MC
062001         1979/10/01          5.420          MC
062001         1979/10/02          3.190          MC
062001         1979/10/03          2.430          MC
062001         1979/10/04          2.170          MC
062001         1979/10/05          2.240          MC
062001         1979/10/06          10.80          MC
062001         1979/10/07          10.90          MC
062001         1979/10/08          8.040          MC
062001         1979/10/09          5.780          MC
062001         1979/10/10          4.300          MC
062001         1979/10/11          3.510          MC
062001         1979/10/12          3.020          MC
062001         1979/10/13          4.630          MC
062001         1979/10/14          9.880          MC
062001         1979/10/15          6.110          MC
062001         1979/10/16          5.090          MC
062001         1979/10/17          3.950          MC
062001         1979/10/18          3.360          MC
062001         1979/10/19          2.860          MC
062001         1979/10/20          2.910          MC
062001         1979/10/21          2.780          MC
062001         1979/10/22          2.780          MC
062001         1979/10/23          2.660          MC
062001         1979/10/24          2.890          MC
062001         1979/10/25          4.140          MC
062001         1979/10/26          3.050          MC
062001         1979/10/27          2.560          MC
062001         1979/10/28          2.370          MC
062001         1979/10/29          2.280          MC
062001         1979/10/30          2.580          MC
062001         1979/10/31          2.530          MC
062001         1979/11/01          2.330          MC
062001         1979/11/02          2.440          MC
062001         1979/11/03          2.260          MC
062001         1979/11/04          1.990          MC
062001         1979/11/05          1.890          MC
062001         1979/11/06          1.740          MC
062001         1979/11/07          1.800          MC
062001         1979/11/08          1.770          MC
062001         1979/11/09          1.630          MC
062001         1979/11/10          1.660          MC
062001         1979/11/11          1.590          MC
062001         1979/11/12          1.390          MC
062001         1979/11/13          1.340          MC
062001         1979/11/14          1.420          MC
062001         1979/11/15          1.330          MC
062001         1979/11/16          1.260          MC
062001         1979/11/17          1.200          MC
062001         1979/11/18          1.090          MC
062001         1979/11/19          1.020          MC
062001         1979/11/20          1.080          MC
062001         1979/11/21          1.160          MC
062001         1979/11/22          1.200          MC
062001         1979/11/23          1.230          MC
